2026-01-17 10:04:49,517 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-17 10:04:51,025 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-17 10:05:10,755 - INFO - Phone migrated to 4
2026-01-17 10:05:10,873 - INFO - Reconnecting to new data center 4
2026-01-17 10:05:10,992 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2026-01-17 10:05:10,993 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2026-01-17 10:05:10,993 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2026-01-17 10:05:12,541 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2026-01-17 10:05:54,452 - INFO - Started scraping CheMed1
2026-01-17 10:05:54,562 - ERROR - Error scraping CheMed1: No user has "chemed1" as username
2026-01-17 10:05:54,562 - INFO - Started scraping lobelia4cosmetics
2026-01-17 10:06:33,048 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:34,230 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:34,794 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:35,451 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:36,177 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:37,074 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:37,700 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:38,451 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:38,837 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:39,110 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:40,530 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:42,353 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:42,873 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:43,790 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:46,274 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:46,888 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:47,486 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:48,073 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:48,955 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:49,463 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:50,193 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:50,780 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:52,388 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:53,252 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:54,089 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:54,803 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:55,528 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:56,754 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:56,959 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:57,461 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:57,671 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:57,928 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:58,503 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:59,027 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:06:59,485 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:00,152 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:01,236 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:07:02,259 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
